69,Beauty With Purpose,1,8/13/2012,77,Photo,Pictures of nature,5.00,1,1,http://gurutapas.com/images/whiteBk.jpg,08/13/12,08/13/12,77
70,Along the Akkoteek,,8/13/2012,77,,,5.00,,,,08/13/12,08/13/12,77
8,MIND GAMES,A small town reporter with a damaged reputation uncovers something that could save a town but no one will believe her and time is running out.  ,8/13/2012,79,,,5.00,,,http://fotos.fotoflexer.com/3dbdd0e502f5420a9581853776c117f2.jpg,08/13/12,08/13/12,79
9,William Edwards and the Wizardly Glasses,A boy who is different gets wizardly glasses and powers. ,8/13/2012,79,,,5.00,,,,08/13/12,08/13/12,79
10,Notes From An Alien,,8/15/2012,80,,From greed & war to lasting peace.,5.00,,,http://www.thebookdesigner.com/wp-content/uploads/2011/10/FinalCoverNfAA.jpg,08/14/12,08/14/12,80
11,Is Your Soul In Here?,,8/14/2012,80,,A Poets Struggle With God.,5.00,,,http://www.fastpencil.com/assets/publications/front_covers/538/thumb/446_cover_front.png,08/14/12,08/14/12,80
12,Stories from Angi, ,8/14/2012,80,,19 Short Stories during the transition from War to Peace.,5.00,,,,08/14/12,08/14/12,80
13,Poems About Angi,,8/14/2012,80,,19 Epic Poems concerning the transition from War to Peace.,5.00,,,,08/14/12,08/14/12,80
14,The Cursed City,"For those who love fantasies. The City of Sweetbriar has been cursed by the wicked witch out of her spite and jealousy. There is darkness everywhere and its been ages since the inhabitants of the city has seen an outsider. The downfall of the town has been due to one unfortunate evening. Little Ali born on the day of the curse subjected to contempt and adversity tries to free his city of the curse. Read and find out how he manages to fight the circumstances and become the Towns Hero.",10/9/2012,84,Adventure,,5.00,,,,03/08/13,03/08/13,84
15,The Partys Over,Two friends discover that they have AIDS. One of them takes his doctors advice and survives. The other one Cisco wont accept that he is infected. Not responding to his doctors advice he retreats into his own world of drugs male prostitution and partying so tragically suffers the consequences. Ciscos best friend is frantic with worry so much so that as a result his own health suffers. A true and moving story.,2/17/2013,26,tragedy,Two friends discover that they have AIDS. One of them takes his doctors advice and survives. The other one wont accept it.,5.00,,,,03/22/13,03/22/13,26
16,The Alternative Medicine Cabinet,,3/1/2010,27,health and wellness,Learn how to incorporate natural remedies into your life for better health and less Western medicine intervention.,5.00,,,,03/25/13,03/25/13,27
17,Body/Mind Therapies for the Bodyworker,,12/29/2012,27,health and wellness mind/body,Learn to incorporate mind/body therapies into your health and wellness practice or your life to decrease stress and enhance healing. ,5.00,,,,03/25/13,03/25/13,27
18,eloves me eloves me not,"Still single at 39 Kayte Wexford has everything but Mr. Right. She has a fabulous career and interesting friends but there’s still no one waiting at home for her but the dog. With keyboard at the ready she turns to technology for help hoping online dating will finally deliver the man of her dreams. eloves me eloves me not is a contemporary romantic comedy that follows Kayte’s online dating adventures while focusing on the relationships of four main characters each with their unique views on love: Kayte is the ever-hopeful romantic Roman the consummate bachelor Thomas is newly and skeptically single and Chloe is already living happily ever after. Join Kayte as she meets a series of cyber-suitors and learns what she will and won’t do in the name of love. See if you can you predict where Kayte will end up and with whom.",11/10/2012,28,Chick Lit,A contemporary romantic comedy about looking for love online.,5.00,,,,03/25/13,03/25/13,28
