shia,
apriljoy,
michelleakamimi,
136,
8,
74,JHellvig
78,""
79,""
juliek,
louclover,
Msheppard,
martinanewberry,
ShelleyGiard,
KenHughes,
cespedeswyatt,
AdrianaBellini,adrianabellini8
80,""
81,""
82,""
83,noriangirl
DawnJordan,
GaryAMMorris,
Cindi,
MyHumanCompassion,
Barry,
jmackey5,
powercurve,
tonebogard,
96,
Kattitudo1945,""
Anniej23,annjamieson2
84,jackmartinwest
85,""
86,cmonemarie 
PPDNews,@Peoples_Pundit
AnneFerretti,Veezy67
9,
AnnetteReid1965,
AshNarz,""
jeffwhorton,http://twitter.com/#!/Jeff_Horton
14,
15,
139,Merletemple
TrishaALindsey,
jeremygwoods,jeremygwoods
Kara,
TrishaLindsey,TrishaALindsey
bigrickbook,""
UpsAndDownsofJohnDoe,CaliCore3
TheBizwacksUnlimited,"thebizwacks
TheBizwacks"
Soniawilliams,Soniawilliams
crazedmom,""
missy_michaels,
kgayleauthor,kgayleauthor
thomaslhay,thomaslhay
mkaynan,
95,
jodydyer,jodycdyer
JaniceEileenGreenlee,
massimiliano,chiusoperkindle
MoxieMalone,
Expat,
ayodele,
2587BM,mackyi
Andrew,Shumbo1954
Blessedbe,
JLTunbridge,
Cantb37g,
Working4TV,
RedHeadedAuthor,RedHeadAuthor
danielhill1336,
JordiDiez,
vivianmoore50,Godsproperty46
josefrivera,
predatorunleashed,
RastafariEmpire,
Nayer,
dennisdeansmith,https://twitter.com/dennisdeansmith
140,""
kirigia,
Anny,
Atippity,
mesanger,
Storytellerjks,rijanjks
kswarren,
ChadBHanson,chadbhanson1
carmaspence,carmap
Blissyouandme,
seveverdad,
LLC,
startaauthor777,""
ashsanborn,
chasklimczak,
Curlywinds25,""
myfitbody,myfitnesshut
Robert,
Gwendolyn,""
darklingdami,
Ben_Nickel_Works1963,
gamiliel,""
Alain2014,
Earthdreams,
geniewrites,@geniewrites
AuthorAnn2013,@AnnVanDeWater
michellemcg,
Cordell79,
142,coreconsulting
154,
121,richokun
Myas,maggiamo
75,""
BitsPieces,https://twitter.com/kiserbelinda
100,
141,@sallyemberedd
153,
146,
145,""
144,SteveWaughBooks
157,
147,
149,
152,
160,
158,dfmnola
Briana2425,""
10,
11,
161,
148,""
151,
150,
Harish,
159,""
12,
13,
162,""
156,AnneCarlisle7
138,www.twitter.com/jenniferdegl
16,
17,
Dan,DMArcherAuthor
18,
19,
TopLineProduction,@iamngozi
20,
97,
98,
101,
102,
88,
5,
99,
133,BenArcherAuthor
6,
7,
26,""
27,""
105,
108,
38,klgruver
28,""
2,
3,
106,
4,
29,""
30,""
32,""
metallus2000,""
33,""
35,""
36,""
37,davidcomx
39,LAJohannesson
40,""
41,""
42,""
43,agresticpublish
44,ldbahnan
45,""
46,yvonnemason
155,https://twitter.com/CucuBani 
48,ZimblerMiller
49,Lubsen
50,amasonauthor
51,energizre
52,""
53,Chop0Matic
penkup,
joyrossdavis,
JPilarsky,https://twitter.com/JPilarsky
Holahiitan85,
54,MichelleKrupprazerblade666 
56,""
66,kellyoutloud
57,followthenovel
58,thekindlewhispe
59,CJHeck60
Kbibbs,
60,""
61,Jennifergarrett
62,""
64,arbeydotinfo 
65,RaygozaJen
109,
67,Spiritual1rav
JINDRISKAM,https://twitter.com/Irami
JBerce,https://twitter.com/JBerce
surrakimuhammad,""
MJGallagherAuthor,""
MelvinLusterJr,
68,siwall1
69,allenpd
70,""
71,Robinski31
72,JMaluth
73,GlendaGReynolds
76,""
77,""
103,
31,""
115,
116,
47,s_jayrichard
119,
117,KaciiEpicness
111,LeeFoust
113,
118,KaciiEpicness
132,""
123,
124,""
122,
126,""
125,lacarrington1
127,
128,
129,
130,
131,JudyTeelBooks
112,https://www.twitter.com/dserrano1971
tiver01,""
89,
PoetDiva,poetdiva1
iantimothy,
crowdpublishtv,crowdpublish
Annette,burrellanet
Kat,
horizontm,
HesedbinJoshua,
DrColinWalsh,happyspud1
sdmeadows,""
SJButfield,sjbutfield
DrDonna,
Shareef,""
sigoodwin,
PeterSkillen,12stepwarrior
ForSheIsBeautiful,
ThomasAPeterson1,
nkjohel,Bollywood_Storm
KendraEArdnek,KendraEArdnek
fmerrell,floydmerrell
Alabidera,Alabidera1
Slobodan,
glen,
Vaspx,vaspx
MargaretCMurray,sundaggertalk
purplebarbi,https://twitter.com/purplebarbi
137,niramisaweiss
55,woweditor12
WhenToQuit,WhenToQuit
63,damiencage
robbie,Robbie Salyers
debbieroppolo,debbieroppolo
lisa,CrowdPublishTV
